Vertex ID;Lat;Lon;Lat/Lon;West/East;South/North
1;-37.811042;144.950439;-37.811042, 144.950439;;
2;-37.810341;144.952936;-37.810341, 144.952936;;
3;-37.812102;144.950930;-37.812102, 144.950930;;
4;-37.811400;144.953432;-37.811400, 144.953432;;
5;-37.813177;144.951421;-37.813177, 144.951421;;
6;-37.812460;144.953931;-37.812460, 144.953931;;
7;-37.811746;144.956431;-37.811746, 144.956431;;
8;-37.814163;144.951884;-37.814163, 144.951884;;
9;-37.813444;144.954388;-37.813444, 144.954388;;
10;-37.812733;144.956873;-37.812733, 144.956873;;
11;-37.815132;144.952330;-37.815132, 144.952330;;
12;-37.814433;144.954832;-37.814433, 144.954832;;
13;-37.813716;144.957309;-37.813716, 144.957309;;
14;-37.816108;144.952784;-37.816108, 144.952784;;
15;-37.815401;144.955291;-37.815401, 144.955291;;
16;-37.815110;144.956295;-37.815110, 144.956295;;
17;-37.814698;144.957750;-37.814698, 144.957750;;
18;-37.817079;144.953234;-37.817079, 144.953234;;
19;-37.816373;144.955735;-37.816373, 144.955735;;
20;-37.816011;144.957052;-37.816011, 144.957052;;
21;-37.815680;144.958205;-37.815680, 144.958205;;
22;-37.818047;144.953683;-37.818047, 144.953683;;
23;-37.817369;144.956190;-37.817369, 144.956190;;
24;-37.816978;144.957474;-37.816978, 144.957474;;
25;-37.816651;144.958656;-37.816651, 144.958656;;
26;-37.818358;144.956635;-37.818358, 144.956635;;
27;-37.817637;144.959128;-37.817637, 144.959128;;
28;-37.819397;144.957120;-37.819397, 144.957120;;
29;-37.818649;144.959571;-37.818649, 144.959571;;
30;-37.821062;144.955040;-37.821062, 144.955040;;
31;-37.820342;144.957543;-37.820342, 144.957543;;
32;-37.819587;144.960023;-37.819587, 144.960023;;
